SN,Price
Adairialis76,2.28
Adastirin33,4.48
Aeda94,4.91
Aela59,4.32
Aelaria33,1.79
Aelastirin39,7.289999999999999
Aelidru27,1.09
Aelin32,8.98
Aelly27,6.789999999999999
Aellynun67,3.74
Aellyria80,3.08
Aelollo59,5.630000000000001
Aenarap34,2.96
Aeral43,4.4
Aeral68,4.0
Aeral97,4.8
Aeralria27,4.09
Aeralstical35,2.96
Aeri84,1.61
Aerillorin70,3.33
Aerithllora36,8.64
Aerithnucal56,4.4
Aerithnuphos61,4.91
Aerithriaphos45,1.56
Aerithriaphos46,2.18
Aesri53,1.76
Aesty53,3.91
Aestysu37,5.38
Aesur96,2.21
Aesurstilis64,1.03
Aethedru70,3.54
Aidai53,4.6
Aidai61,1.01
Aidai73,3.08
Aidaillodeu39,7.859999999999999
Aidain51,3.45
Aidaira26,4.23
Aiduecal76,7.58
Aiduesu86,4.48
Aillyriadru65,1.1
Aillyrin83,2.89
Aina42,9.219999999999999
Aina43,3.09
Airi27,3.45
Aisur51,1.14
Aisurdru79,3.51
Aisurria69,1.79
Aithelis62,6.78
Alaephos75,4.84
Alaesu77,2.49
Alaesu91,3.45
Alarap40,3.27
Ali84,4.31
Alim85,2.5
Alo38,1.0
Anallorgue57,5.7
Ardcil81,5.58
Ardonmol96,1.55
Arin32,9.09
Arirgue63,1.7
Assassa81,3.39
Assassasta79,6.63
Assastnya25,4.48
Assehoan67,1.75
Assesi91,1.54
Assilsan72,4.9
Assim27,1.7
Assirra56,3.19
Assistasda42,5.92
Assistasda90,4.35
Assjaskan56,2.96
Assjaskan73,1.7
Assosia88,1.33
Assylla81,4.18
Asty82,3.09
Asur53,7.4399999999999995
Asur96,4.74
Baelollodeu94,9.03
Bartassaya73,6.12
Caesrinusuir82,5.18
Ceoral34,4.58
Chadadarla74,6.03
Chadilsasta32,4.29
Chadirra90,2.05
Chadista79,8.35
Chadistaya75,3.94
Chadjask77,4.93
Chadjask85,3.87
Chadolyla44,11.46
Chadossa56,1.98
Chadossa89,3.19
Chamadar79,3.14
Chamadarnya73,3.07
Chamadarsda63,3.92
Chamalo71,4.64
Chamassasya86,3.27
Chamast86,2.05
Chamastya76,2.05
Chamilsala65,8.55
Chamiman85,4.4
Chamimla73,4.8
Chamimla85,6.300000000000001
Chamirra53,5.36
Chamirrasya33,3.05
Chamirraya83,2.22
Chamistast30,3.58
Chamjask73,13.83
Chamjaskya75,2.84
Chamossa77,1.77
Chanadar44,3.19
Chanastnya43,8.82
Chanastsda67,3.7
Chanastst38,6.58
Chanastya70,3.58
Chanilsasda38,2.52
Chanilsast61,2.08
Chanirra64,1.54
Chanirra79,1.01
Chanirrala39,6.15
Chanirrasta87,4.94
Chanista95,3.16
Chanjask65,4.32
Chanjaskan89,5.17
Chanosia34,2.96
Chanosia60,5.42
Chanosian48,7.52
Chanosiaya39,1.97
Chanossanya44,6.28
Chanossast57,4.32
Chanuchi25,3.97
Cosadar58,4.35
Dyally87,4.99
Ealiril69,4.4
Ealrion88,4.48
Ennalmol65,4.88
Ennoncil86,1.74
Ennrian78,6.08
Eodailis27,5.76
Eodairu79,3.4
Eodaisu60,3.94
Eolan54,1.54
Eoral49,4.35
Eoralrap26,1.7
Eosrirgue62,3.08
Eosurdru76,1.79
Eratiel90,4.6
Ermol76,2.5
Errian63,3.49
Eryon48,1.1
Ethralista69,2.22
Ethrasyon38,2.04
Ethriel85,3.1
Ethron58,2.49
Eudanu32,2.85
Eudanu84,1.02
Eulae84,3.87
Eulaestira36,4.140000000000001
Eulanurin88,1.79
Eulasuir89,2.67
Eulolis41,2.67
Eurisuru25,2.18
Eurithphos97,4.55
Eusri26,3.27
Eusri44,3.09
Eusri70,7.34
Eustyria89,2.85
Eusur90,1.6
Eusurdeu49,4.94
Euthe35,1.03
Eyircil84,4.35
Eyista89,1.29
Eyrian71,5.1899999999999995
Farrian71,3.08
Farusrian86,4.48
Filrion59,4.64
Filrion83,4.4
Filurarn35,4.91
Firan91,4.91
Firatan58,3.75
Firon67,3.53
Fironon91,4.08
Frichadar89,2.67
Frichadaran88,5.890000000000001
Frichast28,2.05
Frichaststa61,1.79
Frichaya88,3.93
Frichilsa31,1.44
Frichim77,3.75
Frichirranya75,4.23
Frichjask31,4.43
Frichjaskan98,1.02
Frichocesta66,8.370000000000001
Frichosia58,4.43
Frichosiala98,3.54
Frichossala54,3.08
Frichynde86,1.63
Hada39,8.57
Haedairiadru51,3.09
Haeladil46,3.81
Haellysu29,3.77
Haerith37,1.66
Haerithp41,4.4
Haestyphos66,1.97
Hailaphos89,3.81
Haillyrgue51,9.5
Haisrisuir60,6.86
Haisurra41,4.4
Hala31,1.02
Halaecal66,7.109999999999999
Hallysucal81,1.66
Hari50,5.91
Hariphos58,2.05
Heollyra92,3.07
Heollyriap59,3.47
Heosurnuru52,4.46
Heudai45,3.47
Heuli25,6.550000000000001
Heunadil74,1.54
Hiaral50,4.19
Hiarideu73,2.5
Hiasri33,7.49
Hiasurria41,1.61
Hilaerin92,3.61
Hiral75,1.98
Hirirap39,2.71
Hisridru55,3.08
Hyaduesu61,4.23
Iadueria43,1.71
Ialallo29,11.84
Ialidru40,3.16
Iana95,3.1
Iarallo65,1.75
Iaralrgue74,3.23
Iaralsuir44,7.620000000000001
Iarilis73,5.49
Iasrira89,6.25
Iasur80,3.3200000000000003
Iasurriacal29,4.07
Iasursti71,1.66
Iathem87,3.19
Iathenudil29,4.6
Idacal95,2.07
Idai61,8.23
Idaidil28,7.59
Idairin51,7.0
Idaisuir85,3.15
Idastidru52,15.45
Iduelis31,1.1
Iduenu77,3.82
Ilaesudil92,4.35
Ilarin91,12.7
Ilassa51,2.22
Ilassast39,1.63
Ilast79,2.05
Ilastilis78,1.97
Ili43,2.18
Ililsan66,2.85
Ililsasya43,1.02
Ilimya66,4.23
Ilirrasda54,5.0600000000000005
Ilista82,1.14
Iljask75,3.61
Ilmol66,6.17
Ilosia37,7.35
Ilosian36,4.58
Ilosianya35,2.84
Ilunyon70,3.54
Ina92,4.58
Inasti31,2.89
Inasuir29,4.4
Indcil77,4.35
Indirrian56,1.77
Indonmol95,3.3
Ingatcil75,1.56
Inguron55,11.11
Iral74,13.619999999999997
Iri67,11.370000000000001
Irilis75,1.02
Irillo49,3.79
Irith83,2.07
Irithlis29,4.86
Iskadarya95,13.1
Iskichinya81,4.9399999999999995
Iskim66,3.46
Iskim96,1.33
Iskirra45,3.03
Iskjaskst81,4.42
Iskosia90,1.44
Iskosian40,3.07
Iskossasda43,4.35
Isri34,6.97
Isty55,4.08
Isurria36,1.02
Isursti83,1.54
Isursuir31,3.39
Ithergue48,4.88
Itheria73,2.18
Jeyciman68,2.05
Jiskadarst60,4.4
Jiskassa76,1.87
Jiskimsda56,1.14
Jiskimya77,5.98
Jiskirran77,3.39
Jiskjask60,2.22
Jiskjask80,4.19
Jiskjask85,1.33
Jiskossa61,3.16
Laedallo55,4.9
Lalossa38,3.77
Lamil79,9.29
Lassadarsda57,6.49
Lassassasda30,3.54
Lassassast73,4.65
Lassilsala30,11.510000000000002
Lassimla92,8.17
Lassirrasda85,3.44
Lassjask63,1.94
Lassjaskan73,2.5
Layjask75,1.7
Leetirraya83,6.58
Leyirra83,7.300000000000001
Liawista80,2.27
Lirtassa52,1.09
Lirtassan78,3.27
Lirtastan49,2.48
Lirtastsda29,6.84
Lirtastsya71,5.43
Lirtilsa71,4.94
Lirtilsa72,7.33
Lirtim36,1.33
Lirtimst73,4.38
Lirtirra37,3.14
Lirtirra81,1.56
Lirtistanya48,6.300000000000001
Lirtosia63,4.29
Lirtossa60,4.5600000000000005
Lirtossa84,3.24
Lisadar44,1.98
Lisasi93,3.4800000000000004
Lisassa64,2.89
Lisassala98,2.92
Lisassasda39,2.94
Lisassasta50,1.94
Lisast87,6.6
Lisast98,3.97
Lisico81,4.19
Lisilsa62,4.88
Lisim51,5.66
Lisim78,10.02
Lisiriya82,2.27
Lisirra25,2.52
Lisirra58,2.96
Lisirra87,4.23
Lisista27,3.47
Lisista54,3.83
Lisista63,1.74
Lisjaskan36,3.36
Lisjaskya84,2.89
Lisopela58,8.86
Lisosia66,3.65
Lisosia93,18.96
Lisossa25,3.12
Lisossa46,2.5
Lisossala30,4.35
Lisossanya98,3.44
Lisotesta51,1.94
Lisovynya38,1.56
Malarrian73,1.4
Malil90,2.18
Malon70,2.38
Maluncil97,5.28
Malunil62,7.52
Maradaran90,2.73
Maradarnya40,2.37
Marassa62,4.35
Marast30,3.53
Maridisya31,3.08
Marilsa69,5.25
Marilsanya48,3.03
Marilsasya33,2.7
Marim28,4.33
Marirrasta50,4.66
Marjask87,1.44
Marokian45,3.53
Maropast28,4.76
Marughi89,2.18
Marundi65,1.75
Marynde90,5.3100000000000005
Meosridil82,4.9
Mindadaran26,3.75
Mindesi74,5.48
Mindetosya30,3.16
Mindilsa34,2.37
Mindilsa60,1.28
Mindimnya67,4.18
Mindirranya33,3.87
Mindista32,4.23
Mindjasksya61,2.6
Mindossa76,4.93
Minduli80,1.44
Minduri31,4.07
Nitherian58,3.6899999999999995
Palatyon26,2.37
Palyon91,3.39
Peorith44,3.44
Phaedasurap84,3.82
Phaedue89,3.85
Phaelap26,6.640000000000001
Phaena87,5.49
Phaestycal84,3.97
Pheodai94,1.56
Pheodaisun84,8.31
Pheosrinudeu70,7.16
Pheosurllorin41,5.38
Pheulidil31,3.27
Pheusrical25,3.82
Pheutherin27,4.18
Phiallylis33,4.58
Phiarithdeu40,1.48
Philodil43,1.29
Phiristi62,1.79
Phistym51,9.5
Phistyn52,1.63
Phyali88,10.3
Poshilsa82,4.86
Qarirwen82,1.54
Qilalista41,1.02
Qilanrion65,3.03
Qilatista90,1.76
Qilunan34,4.58
Quaecjask96,4.4
Quanenrian83,2.27
Quanrion96,3.08
Quanunwen42,3.49
Quaranmol58,3.33
Quarrion42,4.23
Quilassa66,4.23
Quinarap53,7.07
Raesty92,8.73
Raillydeu47,1.97
Rairin89,3.45
Rairith81,2.22
Raisty38,3.27
Rarallo90,9.049999999999999
Rastynusuir31,2.27
Raysistast71,3.65
Reulae52,4.18
Reunasu60,8.82
Rianistast50,4.23
Rilaera56,4.08
Ririp86,4.94
Risty84,4.6
Ristydru66,1.87
Rithe53,3.39
Ryanara76,3.47
Saedaiphos46,8.83
Saelaephos52,6.359999999999999
Saena74,4.74
Saena89,3.41
Saerallora71,4.43
Saesrideu94,9.18
Saida58,1.03
Saisrilis27,1.75
Saistyphos30,10.33
Salilis27,4.23
Sally64,1.33
Sastydeu50,2.18
Sausosia74,6.609999999999999
Seolollo93,3.41
Seosrim97,5.36
Seudaillorap38,6.71
Seuthep89,2.05
Shaidanu32,3.08
Shidai42,1.33
Siala43,7.26
Siallylis44,10.370000000000001
Siana77,1.97
Siarithria38,6.91
Sida61,5.43
Sidap51,4.24
Silaera56,8.48
Siralsudeu54,2.45
Sisur91,4.19
Smaistysu35,6.6899999999999995
Sondadar26,6.470000000000001
Sondadarya58,1.75
Sondassan80,2.6
Sondassasya91,3.81
Sondastsda82,7.890000000000001
Sondilsaya62,3.14
Sondim68,5.66
Sondim73,4.4
Sondimla25,4.32
Sondistanya61,3.45
Sondossa69,4.48
Strithenu87,10.18
Styaduen40,1.66
Sundadar27,8.709999999999999
Sundadarla27,2.85
Sundassa93,2.45
Sundim98,4.75
Sundirrala66,7.78
Sundista37,1.77
Sundjask71,4.0
Syally44,4.46
Syalollorap93,4.24
Syathe73,1.4
Syathecal44,2.42
Taeduenu92,4.4
Thourdirra92,1.44
Thrientossa55,2.85
Thryallym62,2.05
Tyaedainu44,3.54
Tyaelaelis94,4.4
Tyaelistidru84,3.26
Tyaelly53,2.07
Tyaelo67,4.88
Tyaelorap29,7.71
Tyaenasti87,4.4
Tyaerith73,1.71
Tyalaesu89,2.96
Tyananurgue44,3.27
Tyarithn67,1.14
Tyeoralru41,2.94
Tyeosri53,5.92
Tyeudariasuir90,3.58
Tyeuduen32,4.05
Tyeurith29,3.65
Tyialisti80,4.14
Tyialisudeu65,5.050000000000001
Tyida79,7.390000000000001
Tyidaim51,11.83
Tyidainu31,2.49
Tyirinu79,4.24
Tyisur83,5.359999999999999
Umolrian85,8.13
Undare39,4.04
Undassa89,1.76
Undilsan50,1.79
Undimsya85,3.46
Undirra73,2.89
Undirrala66,5.470000000000001
Undirrasta89,1.94
Undista85,3.45
Undjask33,1.1
Undjaskla97,5.32
Undosia27,3.77
Undosian34,8.3
Undotesta33,4.74
Wailin72,2.73
Yadacal26,6.54
Yadaisuir65,4.09
Yadam35,2.48
Yadanu52,2.38
Yadaphos40,5.3500000000000005
Yalae81,6.6899999999999995
Yalaeria91,1.06
Yaliru88,3.03
Yalo85,3.65
Yalostiphos68,4.4
Yana46,3.55
Yarithllodeu72,3.75
Yarithrgue83,3.45
Yarithrin84,4.14
Yarithsurgue62,4.94
Yarolwen77,4.43
Yasrisu92,3.44
Yastyriaphos75,4.75
Yasur35,4.48
Yasur85,1.1
Yathecal72,3.46
Yathecal82,6.22
Yathedeu43,6.02
Yoishirrala98,4.58
Zhisrisu83,7.89
Zontibe81,8.03
